code_id,LOC,warnings_qty,WPL,variable_warnings_qty,variables_qty,VWPV,function_warnings_qty,functions_qty,FWPF,formatting_warnings_qty,FWPL
.\perfeq\examples/test.c,68,22,0.32,11,22,0.50,3,7,0.43,8,0.12
.\perfeq\examples/test.py,58,21,0.36,10,11,0.91,4,5,0.80,7,0.12
